population_id,zip_code,average_pop
492,2142,"2,923"
493,2143,"25,596"
494,2144,"24,347"
495,2145,"24,917"
496,2148,"59,911"
497,2149,"42,462"
498,2150,"36,375"
499,2151,"52,352"
500,2152,"17,751"
501,2155,"58,754"
502,2163,"2,190"
503,2169,"54,917"
504,2170,"19,701"
505,2171,"17,935"
506,2176,"27,301"
507,2180,"21,565"
508,2184,"36,207"
509,2186,"27,105"
510,2188,"14,657"
511,2189,"14,813"
512,2190,"16,538"
513,2191,"8,467"
514,2199,"1,246"
515,2203, -   
516,2210,"2,024"
517,2215,"24,465"
518,2301,"60,119"
519,2302,"34,041"
520,2322,"4,399"
521,2324,"26,841"
522,2330,"11,520"
523,2332,"15,165"
524,2333,"13,931"
525,2338,"7,596"
526,2339,"14,043"
527,2341,"10,289"
528,2343,"10,708"
529,2346,"23,350"
530,2347,"10,840"
531,2351,"16,028"
532,2356,"12,725"
533,2357,"1,113"
534,2359,"17,934"
535,2360,"56,905"
536,2364,"12,768"
537,2366,166
538,2367,"2,842"
539,2368,"32,904"
540,2370,"17,582"
541,2375,"9,549"
542,2379,"6,954"
543,2382,"14,586"
544,2420,"14,081"
545,2421,"17,901"
546,2445,"20,860"
547,2446,"29,018"
548,2451,"17,383"
549,2452,"14,862"
550,2453,"29,186"
551,2457,"1,428"
552,2458,"11,984"
553,2459,"18,647"
554,2460,"9,243"
555,2461,"7,041"
556,2462,"1,404"
557,2464,"2,964"
558,2465,"11,708"
559,2466,"8,607"
560,2467,"22,803"
561,2468,"5,323"
562,2472,"32,729"
563,2474,"26,835"
564,2476,"16,585"
565,2478,"24,955"
566,2481,"16,257"
567,2482,"10,756"
568,2492,"20,047"
569,2493,"11,565"
570,2494,"9,307"
571,2532,"11,948"
572,2534,974
573,2535,"1,365"
574,2536,"19,459"
575,2537,"6,295"
576,2538,"3,285"
577,2539,"4,139"
578,2540,"8,503"
579,2542,"1,073"
580,2543,750
581,2553,224
582,2554,"10,047"
583,2556,"2,890"
584,2557,"4,555"
585,2558,"1,557"
586,2559,"3,990"
587,2561,482
588,2562,"3,206"
589,2563,"9,881"
590,2564,288
591,2568,"4,018"
592,2571,"10,874"
593,2575,"2,568"
594,2576,"4,436"
595,2584,6
596,2601,"13,944"
597,2630,"2,092"
598,2631,"9,718"
599,2632,"11,040"
600,2633,"3,952"
601,2635,"3,383"
602,2637,117
603,2638,"3,432"
604,2639,"2,901"
605,2641,378
606,2642,"4,932"
607,2643,15
608,2644,"4,311"
609,2645,"9,498"
610,2646,"1,857"
611,2647,128
612,2648,"6,909"
613,2649,"13,993"
614,2650,"1,107"
615,2651,21
616,2652,"1,072"
617,2653,"5,944"
618,2655,"3,659"
619,2657,"2,965"
620,2659,863
621,2660,"6,196"
622,2663,110
623,2664,"9,359"
624,2666,680
625,2667,"2,892"
626,2668,"3,066"
627,2669,222
628,2670,"1,266"
629,2671,929
630,2672,154
631,2673,"8,490"
632,2675,"6,331"
633,2702,"4,438"
634,2703,"43,740"
635,2713,90
636,2715,"3,194"
637,2717,"4,503"
638,2718,"6,647"
639,2719,"15,958"
640,2720,"30,806"
641,2721,"25,837"
642,2723,"14,502"
643,2724,"17,052"
644,2725,"2,579"
645,2726,"15,653"
646,2738,"4,941"
647,2739,"6,115"
648,2740,"43,515"
649,2743,"10,342"
650,2744,"11,585"
651,2745,"24,749"
652,2746,"14,857"
653,2747,"22,379"
654,2748,"12,277"
655,2760,"26,968"
656,2762,"8,479"
657,2763,"1,787"
658,2764,"3,955"
659,2766,"19,198"
660,2767,"13,584"
661,2769,"11,686"
662,2770,"5,176"
663,2771,"14,040"
664,2777,"15,991"
665,2779,"6,463"
666,2780,"49,299"
667,2790,"15,978"
668,2791,141
669,2802,843
670,2804,"2,468"
671,2806,"16,321"
672,2807,912
673,2808,"2,381"
674,2809,"22,659"
675,2812,"1,748"
676,2813,"7,809"
677,2814,"7,471"
678,2815,213
679,2816,"32,704"
680,2817,"6,099"
681,2818,"18,197"
682,2822,"6,355"
683,2825,"5,303"
684,2826,609
685,2827,"2,089"
686,2828,"7,508"
687,2830,"6,414"
688,2831,"3,304"
689,2832,"4,986"
690,2833,603
691,2835,"5,434"
692,2836,112
693,2837,"3,495"
694,2838,"3,701"
695,2839,"1,733"
696,2840,"23,328"
697,2841,"1,217"
698,2842,"16,093"
699,2852,"22,514"
700,2857,"8,889"
701,2858,574
702,2859,"6,818"
703,2860,"44,835"
704,2861,"26,637"
705,2863,"19,379"
706,2864,"33,599"
707,2865,"16,817"
708,2871,"17,160"
709,2872,188
710,2873,202
711,2874,"6,133"
712,2875,409
713,2876,263
714,2878,"15,778"
715,2879,"20,601"
716,2881,"7,739"
717,2882,"13,917"
718,2885,"10,606"
719,2886,"28,863"
720,2888,"19,806"
721,2889,"28,221"
722,2891,"21,244"
723,2892,"4,453"
724,2893,"29,497"
725,2894,632
726,2895,"41,234"
727,2896,"11,774"
728,2898,"1,433"
729,2903,"10,498"
730,2904,"29,193"
731,2905,"25,565"
732,2906,"28,480"
733,2907,"27,758"
734,2908,"37,749"
735,2909,"43,090"
736,2910,"20,687"
737,2911,"15,812"
738,2912,"1,683"
739,2914,"22,042"
740,2915,"16,513"
741,2916,"8,568"
742,2917,"13,977"
743,2919,"28,954"
744,2920,"38,095"
745,2921,"12,168"
746,3031,"11,280"
747,3032,"5,053"
748,3033,"5,031"
749,3034,"3,964"
750,3036,"4,787"
751,3037,"4,263"
752,3038,"33,501"
753,3042,"6,469"
754,3043,"1,558"
755,3044,"4,288"
756,3045,"13,659"
757,3046,"2,770"
758,3047,"1,573"
759,3048,"3,520"
760,3049,"7,705"
761,3051,"24,589"
762,3052,"8,280"
763,3053,"24,089"
764,3054,"25,550"
765,3055,"15,068"
766,3057,"2,538"
767,3060,"29,175"
768,3062,"27,251"
769,3063,"16,023"
770,3064,"14,427"
771,3070,"5,303"
772,3071,"5,120"
773,3076,"12,969"
774,3077,"10,257"
775,3079,"28,848"
776,3082,"1,561"
777,3084,"1,505"
778,3086,"3,782"
779,3087,"13,805"
780,3101,"2,902"
781,3102,"31,617"
782,3103,"36,838"
783,3104,"32,637"
784,3106,"13,549"
785,3109,"10,082"
786,3110,"21,384"
787,3215,270
788,3216,"2,182"
789,3217,"1,922"
790,3218,915
791,3220,"7,368"
792,3221,"2,100"
793,3222,"5,599"
794,3223,"3,394"
795,3224,"2,315"
796,3225,"3,677"
797,3226,"1,026"
798,3227,"1,039"
799,3229,"5,601"
800,3230,"1,289"
801,3231,298
